priority,category,status,control,source_rows,evidence
P0,accessi-privacy,passed,“Dispositivo autorizzato” significhi sessione server valida;,addendum:A0387,"Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04"
P0,accessi-privacy,passed,“Documento privato” significhi controllo server per proprietario e ruolo;,addendum:A0388,P0 locale documenti: proprietario e coordinatore aprono; altro viaggiatore riceve diniego server
P0,accessi-privacy,passed,“Posizione condivisa” significhi salvataggio e visualizzazione autorizzata;,addendum:A0389,"Playwright Galaxy: POST 200, coordinate e marker visibili al gruppo, assenti al pubblico, DELETE e sync verificati; preview 20382a40; 2026-08-04"
P0,accessi-privacy,passed,100 tentativi di accesso con codice errato.,globale:T-1049,"ui-p0-auth-abuse: 100/100 respinti, rate limit attivo, profili invariati"
P0,accessi-privacy,passed,100 tentativi di utilizzo di un invito errato.,globale:T-1050,"ui-p0-auth-abuse: 100/100 respinti, nessuna sessione o profilo"
P0,accessi-privacy,passed,Accedere tramite invito personale.,globale:T-0753;addendum:A0337,QA 1.31.0: accesso tramite invito personale completato
P0,accessi-privacy,passed,accesso completo;,globale:T-1366,"authorization-matrix 55/55: il proprietario autenticato vede public, family, group e il proprio private"
P0,accessi-privacy,passed,accesso limitato ad alcune fotografie;,globale:T-1367,"authorization-matrix 55/55: familiare vede public+family, viaggiatore vede public+family+group, nessuno vede private altrui"
P0,accessi-privacy,passed,accesso negato;,globale:T-1368,authorization-matrix 55/55: contenuti fuori visibilità e operazioni fuori ruolo restituiscono 401/403
P0,accessi-privacy,passed,Accesso personale.,globale:T-1199;usabilita:U0652,ui-password-access touch 1/1: registrazione locale autorizzata crea una sessione personale vincolata al telefono e la mantiene dopo refresh
P0,accessi-privacy,passed,Accesso tramite eSIM.,globale:T-0649,"ui-network-india: eSIM 4G verificata sui tre profili mobile | ui-network-india 18/18: profilo eSIM indiana 4G su S20 FE, Samsung vecchio e iPhone piccolo"
P0,accessi-privacy,passed,Accesso tramite invito.,usabilita:U0639,Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04
P0,accessi-privacy,passed,Accesso tramite rete Wi-Fi indiana.,globale:T-0650,"ui-network-india: Wi-Fi indiana debole verificata sui tre profili mobile | ui-network-india 18/18: Wi-Fi debole ad alta latenza su S20 FE, Samsung vecchio e iPhone piccolo"
