"id","section","control","status","evidence","revision"
"A0001","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","pulsanti con testo;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0002","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","pulsanti contenenti soltanto icone;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0003","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","collegamenti;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0004","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","menu;","pending","","1.31.0"
"A0005","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","voci della barra inferiore;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0006","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","voci della barra superiore;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0007","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","schede;","pending","","1.31.0"
"A0008","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","selettori;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0009","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","campi cliccabili;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0010","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","fotografie cliccabili;","pending","","1.31.0"
"A0011","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","marker delle mappe;","pending","","1.31.0"
"A0012","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","notifiche cliccabili;","pending","","1.31.0"
"A0013","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","comandi presenti nelle finestre modali;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0014","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","comandi visibili soltanto a determinati ruoli;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0015","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","comandi generati dinamicamente.","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0016","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","nessun tasto rimanga fuori dal registro;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0017","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","nessun tasto sia privo di funzione;","pending","","1.31.0"
"A0018","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","nessuna funzione esista soltanto nel codice senza essere raggiungibile;","pending","","1.31.0"
"A0019","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","nessuna funzione dichiarata nella documentazione sia assente dall’interfaccia;","pending","","1.31.0"
"A0020","A1. CREAZIONE DEL REGISTRO COMPLETO DELLE FUNZIONI","nessun endpoint operativo sia privo di controllo delle autorizzazioni.","pending","","1.31.0"
"A0021","A2. MATRICE AUTORIZZATIVA UNICA","CONSENTITO;","pending","","1.31.0"
"A0022","A2. MATRICE AUTORIZZATIVA UNICA","NEGATO;","pending","","1.31.0"
"A0023","A2. MATRICE AUTORIZZATIVA UNICA","CONSENTITO SOLTANTO SE PROPRIETARIO;","pending","","1.31.0"
"A0024","A2. MATRICE AUTORIZZATIVA UNICA","CONSENTITO SOLTANTO CON APPROVAZIONE;","pending","","1.31.0"
"A0025","A2. MATRICE AUTORIZZATIVA UNICA","NON APPLICABILE.","pending","","1.31.0"
"A0026","A3. CONTROLLO DI COERENZA TRA INTERFACCIA E SERVER","il tasto deve essere visibile;","pending","","1.31.0"
