"id","section","control","status","evidence","revision"
"U0001","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Stabilire in modo definitivo chi può pubblicare.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0002","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Se la password del gruppo deve permettere la pubblicazione, creare una sessione Ospite/Familiare valida e controllata.","pending","","1.31.0"
"U0003","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Se la pubblicazione richiede obbligatoriamente un profilo personale, non mostrare il compositore finché il dispositivo non è associato a un profilo.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0004","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Non mostrare mai il pulsante “Pubblica” come utilizzabile se il server rifiuterà l’operazione.","passed","Playwright Galaxy S9+ reale: touch fisico, 14 giornate, persistenza, 14 ricollocazioni mappa, marker Delhi 1/8 e Ranakpur; pubblicazione HTTP 201 senza duplicati; preview 9913ac2c; 2026-08-04","1.31.0"
"U0005","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Non consentire alla password comune di impersonare un Viaggiatore esistente.","pending","","1.31.0"
"U0006","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Associare ogni pubblicazione a un’identità certa.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0007","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Mostrare un messaggio preciso: “Per pubblicare devi prima collegare questo dispositivo al tuo profilo”.","pending","","1.31.0"
"U0008","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Non mostrare un generico “Errore”.","pending","","1.31.0"
"U0009","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Inserire la password corretta.","pending","","1.31.0"
"U0010","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Aprire Pubblica.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0011","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Pubblicare solo testo.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0012","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Pubblicare una fotografia.","pending","","1.31.0"
"U0013","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Pubblicare un video.","pending","","1.31.0"
"U0014","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Pubblicare un audio.","pending","","1.31.0"
"U0015","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Pubblicare dieci allegati.","pending","","1.31.0"
"U0016","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare risposta HTTP 201.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0017","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare inserimento nel database.","pending","","1.31.0"
"U0018","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare autore corretto.","pending","","1.31.0"
"U0019","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare profile_id o guest_id corretto.","pending","","1.31.0"
"U0020","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare comparsa immediata nel feed.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0021","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare comparsa sul secondo telefono.","pending","","1.31.0"
"U0022","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare ricezione della notifica.","pending","","1.31.0"
"U0023","1. ERRORE BLOCCANTE GIÀ RISCONTRATO","Verificare assenza di duplicazioni.","pending","","1.31.0"
"U0024","2. RUOLI DA COLLAUDARE SEPARATAMENTE","deve ricevere una sessione Ospite sicura;","pending","","1.31.0"
"U0025","2. RUOLI DA COLLAUDARE SEPARATAMENTE","deve avere un nome verificabile;","pending","","1.31.0"
"U0026","2. RUOLI DA COLLAUDARE SEPARATAMENTE","non deve poter scegliere il profilo di un Viaggiatore;","pending","","1.31.0"
"U0027","2. RUOLI DA COLLAUDARE SEPARATAMENTE","non deve vedere documenti;","pending","","1.31.0"
"U0028","2. RUOLI DA COLLAUDARE SEPARATAMENTE","non deve vedere posizioni, salvo autorizzazione esplicita;","pending","","1.31.0"
"U0029","2. RUOLI DA COLLAUDARE SEPARATAMENTE","non deve accedere alle funzioni del Coordinatore.","pending","","1.31.0"
"U0030","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","SUPERATO","pending","","1.31.0"
"U0031","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","NON SUPERATO","pending","","1.31.0"
"U0032","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","PARZIALE","pending","","1.31.0"
"U0033","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","BLOCCATO","pending","","1.31.0"
"U0034","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","Screenshot","pending","","1.31.0"
"U0035","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","Video","pending","","1.31.0"
"U0036","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","Log browser","pending","","1.31.0"
"U0037","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","Log Cloudflare","pending","","1.31.0"
"U0038","3. MODALITÀ DI ESECUZIONE DI OGNI TEST","Controllo database","pending","","1.31.0"
"U0039","4. CONTROLLO DELLA BARRA SUPERIORE","Toccare il pulsante Accesso.","pending","","1.31.0"
"U0040","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare apertura del pannello.","pending","","1.31.0"
"U0041","4. CONTROLLO DELLA BARRA SUPERIORE","Inserire password corretta.","pending","","1.31.0"
"U0042","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare messaggio di accesso riuscito.","pending","","1.31.0"
"U0043","4. CONTROLLO DELLA BARRA SUPERIORE","Inserire password errata.","pending","","1.31.0"
"U0044","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare messaggio preciso.","pending","","1.31.0"
"U0045","4. CONTROLLO DELLA BARRA SUPERIORE","Premere Invio dalla tastiera.","pending","","1.31.0"
"U0046","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare esecuzione dell’accesso.","pending","","1.31.0"
"U0047","4. CONTROLLO DELLA BARRA SUPERIORE","Inserire spazi prima e dopo la password.","pending","","1.31.0"
"U0048","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare comportamento previsto.","pending","","1.31.0"
"U0049","4. CONTROLLO DELLA BARRA SUPERIORE","Chiudere e riaprire il pannello.","pending","","1.31.0"
"U0050","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare mantenimento dello stato.","pending","","1.31.0"
"U0051","4. CONTROLLO DELLA BARRA SUPERIORE","Chiudere e riaprire l’app.","passed","Playwright mobile UI + HTTP 201 + production-smoke identity; preview 4bc152c6; 2026-08-04","1.31.0"
"U0052","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare mantenimento dell’accesso, se previsto.","pending","","1.31.0"
"U0053","4. CONTROLLO DELLA BARRA SUPERIORE","Eseguire logout.","pending","","1.31.0"
"U0054","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare rimozione dell’accesso.","pending","","1.31.0"
"U0055","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare che il vecchio token non funzioni più.","pending","","1.31.0"
"U0056","4. CONTROLLO DELLA BARRA SUPERIORE","Aprire il pannello notifiche.","pending","","1.31.0"
"U0057","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare contenuti recenti.","pending","","1.31.0"
"U0058","4. CONTROLLO DELLA BARRA SUPERIORE","Verificare numero di non letti.","pending","","1.31.0"
"U0059","4. CONTROLLO DELLA BARRA SUPERIORE","Chiudere il pannello.","pending","","1.31.0"
"U0060","4. CONTROLLO DELLA BARRA SUPERIORE","Riaprire il pannello.","pending","","1.31.0"
