id,area,controllo,esecuzione_reale,stato,evidenza
L1-001,Disponibilita,Il link pubblico apre da rete esterna,HTTP e browser mobile,PASS,Gate 1.33.0 consolidato 109/109
L1-002,Disponibilita,L'app risponde senza server locale acceso,Cloudflare Pages API health,PASS,Gate 1.33.0 consolidato 109/109
L1-003,Disponibilita,Il dominio non mostra Andrea o email,Ispezione URL e interfaccia,PASS,Gate 1.33.0 consolidato 109/109
L1-004,Disponibilita,HTTPS valido senza avvisi,Browser mobile reale,PASS,Gate 1.33.0 consolidato 109/109
L1-005,Disponibilita,La pagina iniziale carica senza schermata vuota,Nuovo contesto browser,PASS,Gate 1.33.0 consolidato 109/109
L1-006,Disponibilita,Refresh completo mantiene l'app raggiungibile,Reload browser,PASS,Gate 1.33.0 consolidato 109/109
L1-007,Disponibilita,Riapertura dopo chiusura browser torna online,Nuovo avvio contesto persistente,PASS,Gate 1.33.0 consolidato 109/109
L1-008,Disponibilita,Errore rete temporaneo non cancella dati locali,Offline-online browser,PASS,Gate 1.33.0 consolidato 109/109
L1-009,Disponibilita,Ritorno online riallinea lo stato,Due browser e API reale,PASS,Gate 1.33.0 consolidato 109/109
L1-010,Disponibilita,La revisione visibile coincide con il rilascio,UI e asset pubblicati,PASS,Gate 1.33.0 consolidato 109/109
L1-011,Primo accesso,Un visitatore apre senza password,Contesto pulito,PASS,Gate 1.33.0 consolidato 109/109
L1-012,Primo accesso,Il visitatore capisce come accedere al gruppo,Ispezione e click reali,PASS,Gate 1.33.0 consolidato 109/109
L1-013,Primo accesso,Il pulsante Accedi al gruppo e sempre raggiungibile,Viewport Samsung e iPhone,PASS,Gate 1.33.0 consolidato 109/109
L1-014,Primo accesso,La password corretta viene accettata,API reale e UI,PASS,Gate 1.33.0 consolidato 109/109
L1-015,Primo accesso,La password errata mostra Codice non corretto,UI reale,PASS,Gate 1.33.0 consolidato 109/109
L1-016,Primo accesso,Il messaggio di errore resta su una riga quando possibile,Viewport mobile,PASS,Gate 1.33.0 consolidato 109/109
L1-017,Primo accesso,Database vuoto propone il primo coordinatore,Database reale vuoto,PASS,Gate 1.33.0 consolidato 109/109
L1-018,Primo accesso,Il primo coordinatore inserisce nome e cognome,Form e API reali,PASS,Gate 1.33.0 consolidato 109/109
L1-019,Primo accesso,Il primo coordinatore inserisce la citta,Form e API reali,PASS,Gate 1.33.0 consolidato 109/109
L1-020,Primo accesso,La creazione collega subito quel telefono,Sessione server reale,PASS,Gate 1.33.0 consolidato 109/109
L1-021,Identita,Il nome collegato appare nell'intestazione,UI autenticata,PASS,Gate 1.33.0 consolidato 109/109
L1-022,Identita,Il ruolo coordinatore appare correttamente,UI e sessione server,PASS,Gate 1.33.0 consolidato 109/109
L1-023,Identita,Il coordinatore crea un viaggiatore,API e UI reali,PASS,Gate 1.33.0 consolidato 109/109
L1-024,Identita,Il viaggiatore riceve un link personale,Invito server reale,PASS,Gate 1.33.0 consolidato 109/109
L1-025,Identita,Il link personale collega un secondo telefono,Secondo contesto pulito,PASS,Gate 1.33.0 consolidato 109/109
L1-026,Identita,Un invito gia usato viene rifiutato,Secondo tentativo reale,PASS,Gate 1.33.0 consolidato 109/109
L1-027,Identita,Il viaggiatore vede il proprio nome dopo il collegamento,UI secondo dispositivo,PASS,Gate 1.33.0 consolidato 109/109
L1-028,Identita,Il viaggiatore non puo scegliere arbitrariamente un altro nome,Tentativo UI e API,PASS,Gate 1.33.0 consolidato 109/109
L1-029,Identita,Il coordinatore vede l'elenco dei viaggiatori,UI coordinatore,PASS,Gate 1.33.0 consolidato 109/109
L1-030,Identita,Il conteggio viaggiatori coincide col database,UI e query D1,PASS,Gate 1.33.0 consolidato 109/109
L1-031,Memoria dispositivo,Refresh non richiede di nuovo la password,Reload autenticato,PASS,Gate 1.33.0 consolidato 109/109
L1-032,Memoria dispositivo,Chiusura e riapertura browser conserva l'accesso,Contesto persistente Playwright,PASS,Gate 1.33.0 consolidato 109/109
L1-033,Memoria dispositivo,Riavvio simulato del cellulare conserva la sessione,Nuovo browser con stesso profilo,PASS,Gate 1.33.0 consolidato 109/109
L1-034,Memoria dispositivo,Il nome non viene richiesto di nuovo,Pubblicazione dopo riapertura,PASS,Gate 1.33.0 consolidato 109/109
L1-035,Memoria dispositivo,La sessione valida viene verificata dal server,Endpoint auth session,PASS,Gate 1.33.0 consolidato 109/109
L1-036,Memoria dispositivo,Un errore rete non effettua logout,Offline temporaneo,PASS,Gate 1.33.0 consolidato 109/109
L1-037,Memoria dispositivo,Una sessione revocata effettua logout,Revoca server e riapertura,PASS,Gate 1.33.0 consolidato 109/109
L1-038,Memoria dispositivo,Logout cancella le credenziali del dispositivo,Storage e UI,PASS,Gate 1.33.0 consolidato 109/109
L1-039,Memoria dispositivo,Dopo logout il privato torna bloccato,UI e API,PASS,Gate 1.33.0 consolidato 109/109
L1-040,Memoria dispositivo,Un altro cellulare resta indipendente,Due contesti separati,PASS,Gate 1.33.0 consolidato 109/109
L1-041,Ruoli,Il pubblico vede solo contenuti pubblici,UI pubblica e API,PASS,Gate 1.33.0 consolidato 109/109
L1-042,Ruoli,Il pubblico non vede documenti,Richiesta UI e API forzata,PASS,Gate 1.33.0 consolidato 109/109
L1-043,Ruoli,Il pubblico non vede posizioni private,Richiesta UI e API forzata,PASS,Gate 1.33.0 consolidato 109/109
L1-044,Ruoli,Il pubblico non puo pubblicare post,Tentativo UI e API,PASS,Gate 1.33.0 consolidato 109/109
L1-045,Ruoli,Il pubblico non puo eliminare post,Tentativo UI e API,PASS,Gate 1.33.0 consolidato 109/109
L1-046,Ruoli,Il visitatore identificato puo commentare,Sessione ospite reale,PASS,Gate 1.33.0 consolidato 109/109
L1-047,Ruoli,Il visitatore identificato puo reagire,Sessione ospite reale,PASS,Gate 1.33.0 consolidato 109/109
L1-048,Ruoli,Il viaggiatore puo pubblicare,Sessione viaggiatore reale,PASS,Gate 1.33.0 consolidato 109/109
L1-049,Ruoli,Il viaggiatore gestisce solo i propri contenuti,Tentativi su due autori,PASS,Gate 1.33.0 consolidato 109/109
L1-050,Ruoli,Il coordinatore gestisce contenuti e gruppo,Sessione coordinatore reale,PASS,Gate 1.33.0 consolidato 109/109
L1-051,Navigazione,Il tasto Bacheca apre la bacheca,Click mobile reale,PASS,Gate 1.33.0 consolidato 109/109
